date,thrust
0.0,1954.22290 
0.1,1954.22290
0.2,1952.20888
0.3,1950.82292
0.4,1951.73916
0.5,1951.50095
0.6,1950.20109
0.7,1950.16987
0.8,1946.04189
0.9,1947.76820
1.0,1947.17224
1.1,1944.60999
1.2,1942.47864
1.3,1943.43770
1.4,1941.50129
1.5,1940.73806
1.6,1938.95554
1.7,1936.54807
1.8,1934.41137
2.0,1934.03533
2.1,1932.21892
2.2,1930.43908
2.3,1930.57468
2.4,1932.37816
2.5,1928.20290
2.6,1931.53910
2.7,1923.64045
2.8,1924.52278
2.9,1919.13687
3.0,1919.38400
3.1,1917.25979
3.2,1917.51227
3.3,1913.37983
3.4,1913.22192
3.5,1910.35990
3.6,1909.05156
3.7,1905.28134
3.8,1904.95927
3.9,1901.82292
4.0,1898.44346
4.1,1776.35273
4.2,1767.91299
4.3,1765.05722
4.4,1758.75552
4.5,1757.49357
4.6,1703.08937
4.7,315.03913
4.8,132.43476
4.9,112.01746
5.0,107.64950
5.1,104.15182
5.2,100.28257
5.3,92.68546
5.4,87.03905
5.5,84.59143
5.6,83.41379
5.7,82.30842
5.8,81.06209
5.9,79.45220
6.0,78.47218
6.1,79.61636
6.2,78.09123
